Description,Location,Price,Bedrooms,Bathrooms,Floor_area,Land_area,Latitude,Longitude,Cluster,region
"1-Bedroom Unit (2118) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",15492000,1,0,53.0,0.0,14.588882,121.079016,0,National Capital Region
For Sale Studio Unit at Circulo Verde in Bagumbayan Quezon City,"Eastwood City, Quezon City",3800000,1,1,30.0,0.0,14.60892,121.0798,0,National Capital Region
"Studio Unit for Sale in 88 Gibraltar - Gibraltar, Baguio","Gibraltar, Baguio",3300000,1,1,33.0,0.0,16.419598,120.626852,0,Cordillera Administrative Region
"Gardenia 4-Bedroom Single Detached House for Sale in Primavera Homes Phase 2, Tanauan...","Darasa, Tanauan",3775000,4,0,80.0,120.0,14.0661817,121.1567437,0,Calabarzon
"Studio Unit for Sale in Suntrust Amadea Tower 1, Quezon City, 2.96M","Paligsahan, Quezon City",2963760,1,1,24.0,0.0,14.631613,121.023475,0,National Capital Region
"2-Bedroom Garden Unit Beach Condo in Seafront Residences (Seafront Villas), San Juan,...","Calubcub II, San Juan",10000000,2,3,54.0,0.0,13.740708,121.428014,0,Calabarzon
"2-Bedroom Elegant and Affordable House and Lot for Sale in Dona Rufina, Bagakay, Ozam...","Bagakay, Ozamiz",850000,2,0,35.0,50.0,8.14369,123.813471,0,Northern Mindanao
"The Mist Residences - 2-Bedroom Unit for Sale in Bakakeng Central, Baguio City","Bakakeng Central, Baguio",4600000,2,1,35.0,0.0,16.39936,120.581264,0,Cordillera Administrative Region
"2BR Suite Condo Unit for Sale in Lucima, Cebu Business Park, Cebu City | Pre-selling","Hippodromo, Cebu",17776242,2,2,108.0,0.0,10.315,123.90592649203,0,Central Visayas
Studio Unit for Sale in AMA Tower Residences Wack-Wack Greenhills Mandaluyong|5W,"Wack-Wack Greenhills, Mandaluyong",6423156,1,1,27.0,0.0,14.592173,121.053333,0,National Capital Region
"RFO Semi-Furnished 2BR Unit for Sale in Acqua Private Residences, Mandaluyong","Hulo, Mandaluyong",7500000,2,1,53.0,0.0,14.571604,121.031359,0,National Capital Region
"RFO 1-Bedroom Condo Unit for Sale in Asia Enclaves, Cupang, Muntinlupa City | 227-N","Cupang, Muntinlupa",2515625,1,1,30.0,0.0,14.434669,121.040194,0,National Capital Region
"2-Bedroom Unit for Sale in Metrotowne, Las Pinas City","Talon Uno, Las Pinas",6500000,2,1,48.0,0.0,14.446596,120.987165,0,National Capital Region
"Suntrust Solana, 2-Bedroom Unit for Sale in Ermita, Manila","Ermita, Manila",4900000,2,1,39.0,0.0,14.590526,120.985482,0,National Capital Region
"1BR Condo Unit for Sale in Legacy Leisure Residences, Ma-a, Davao City | 32.75 sqm","Ma-A, Davao",3702460,1,1,32.0,0.0,7.0867489,125.5840299,0,Davao
"Residential Unit (111-04) for Sale in UniPlace @ SWU Village, Cebu City","Sambag II, Cebu",2810000,1,1,24.0,0.0,10.3058395,123.8908567,0,Central Visayas
Pre-Selling Studio Unit in Moldex Residences Baguio - Groden Building,"Bakakeng Central, Baguio",3500000,1,1,22.0,0.0,16.39936,120.581264,0,Cordillera Administrative Region
